"2424_E_Bhyb" "2424_N_Bhyb" "3386_A_Bput" "3386_AB_Bput" "3386_AD_Bhyb" "3386_AE_Bput" "3386_AG_Bhyb" "3386_AH_Bhyb" "3386_AI_Bhyb" "3386_AJ_Bhyb" "3386_AK_Bput" "3386_AL_Bhyb" "3386_C_Bhyb" "3386_D_Bput" "3386_E_Bput" "3386_F_Bput" "3386_G_Bhyb" "3386_H_Bhyb" "3386_I_Bput" "3386_J_Bhyb" "3386_M_Bhyb" "3386_N_Bhyb" "3386_O_Bput" "3386_S_Bput" "3386_T_Bhyb" "3386_U_Bhyb" "3386_W_Bhyb" "3386_X_Bhyb" "3386_Y_Bput" "3386_Z_Bput"
"2424_E_Bhyb" 0 0.75 0.416666666666667 0.416666666666667 0.75 0.5 0.666666666666667 0.75 0.75 0.583333333333333 0.416666666666667 0.75 0.416666666666667 0.5 0.416666666666667 0.416666666666667 0.666666666666667 0.5 0.416666666666667 0.5 0.583333333333333 0.583333333333333 0.583333333333333 0.5 0.75 0.833333333333333 0.5 0.5 0.416666666666667 0.5
"2424_N_Bhyb" 0.75 0 0.666666666666667 0.666666666666667 0.583333333333333 0.583333333333333 0.583333333333333 0.416666666666667 0.833333333333333 0.583333333333333 0.583333333333333 0.583333333333333 0.833333333333333 0.583333333333333 0.583333333333333 0.583333333333333 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 0.583333333333333 0.583333333333333 0.5 0.583333333333333 0.583333333333333 0.416666666666667 0.666666666666667 0.583333333333333 0.583333333333333 0.583333333333333
"3386_A_Bput" 0.416666666666667 0.666666666666667 0 0.0833333333333333 0.833333333333333 0.0833333333333333 0.583333333333333 0.666666666666667 0.666666666666667 0.583333333333333 0.25 0.75 0.5 0.0833333333333333 0.166666666666667 0.166666666666667 0.583333333333333 0.416666666666667 0 0.583333333333333 0.666666666666667 0.666666666666667 0.166666666666667 0.0833333333333333 0.666666666666667 0.583333333333333 0.75 0.833333333333333 0.166666666666667 0.0833333333333333
"3386_AB_Bput" 0.416666666666667 0.666666666666667 0.0833333333333333 0 0.75 0.166666666666667 0.5 0.666666666666667 0.583333333333333 0.5 0.166666666666667 0.666666666666667 0.416666666666667 0.166666666666667 0.25 0.25 0.5 0.333333333333333 0.0833333333333333 0.5 0.583333333333333 0.75 0.25 0.166666666666667 0.583333333333333 0.666666666666667 0.833333333333333 0.833333333333333 0.25 0.166666666666667
"3386_AD_Bhyb" 0.75 0.583333333333333 0.833333333333333 0.75 0 0.916666666666667 0.5 0.583333333333333 0.416666666666667 0.5 0.75 0.5 0.583333333333333 0.916666666666667 0.833333333333333 0.833333333333333 0.416666666666667 0.666666666666667 0.833333333333333 0.416666666666667 0.333333333333333 0.5 0.916666666666667 0.916666666666667 0.25 0.583333333333333 0.666666666666667 0.5 0.833333333333333 0.916666666666667
"3386_AE_Bput" 0.5 0.583333333333333 0.0833333333333333 0.166666666666667 0.916666666666667 0 0.666666666666667 0.75 0.75 0.666666666666667 0.166666666666667 0.75 0.583333333333333 0 0.0833333333333333 0.0833333333333333 0.666666666666667 0.5 0.0833333333333333 0.666666666666667 0.75 0.75 0.0833333333333333 0 0.75 0.5 0.75 0.916666666666667 0.0833333333333333 0
"3386_AG_Bhyb" 0.666666666666667 0.583333333333333 0.583333333333333 0.5 0.5 0.666666666666667 0 0.666666666666667 0.416666666666667 0.583333333333333 0.583333333333333 0.416666666666667 0.416666666666667 0.666666666666667 0.666666666666667 0.666666666666667 0.5 0.25 0.583333333333333 0.583333333333333 0.75 0.75 0.75 0.666666666666667 0.333333333333333 0.75 0.75 0.583333333333333 0.666666666666667 0.666666666666667
"3386_AH_Bhyb" 0.75 0.416666666666667 0.666666666666667 0.666666666666667 0.583333333333333 0.75 0.666666666666667 0 0.666666666666667 0.416666666666667 0.75 0.583333333333333 0.666666666666667 0.75 0.75 0.75 0.5 0.75 0.666666666666667 0.416666666666667 0.416666666666667 0.583333333333333 0.666666666666667 0.75 0.5 0.416666666666667 0.666666666666667 0.5 0.75 0.75
"3386_AI_Bhyb" 0.75 0.833333333333333 0.666666666666667 0.583333333333333 0.416666666666667 0.75 0.416666666666667 0.666666666666667 0 0.583333333333333 0.75 0.5 0.5 0.75 0.833333333333333 0.833333333333333 0.25 0.333333333333333 0.666666666666667 0.5 0.583333333333333 0.75 0.75 0.75 0.333333333333333 0.5 0.833333333333333 0.583333333333333 0.833333333333333 0.75
"3386_AJ_Bhyb" 0.583333333333333 0.583333333333333 0.583333333333333 0.5 0.5 0.666666666666667 0.583333333333333 0.416666666666667 0.583333333333333 0 0.583333333333333 0.5 0.5 0.666666666666667 0.666666666666667 0.666666666666667 0.5 0.5 0.583333333333333 0.333333333333333 0.416666666666667 0.416666666666667 0.583333333333333 0.666666666666667 0.583333333333333 0.5 0.75 0.583333333333333 0.666666666666667 0.666666666666667
