	2424_E	2424_N	3386_A	3386_AB	3386_AD	3386_AE	3386_AG	3386_AH	3386_AI	3386_AJ	3386_AK	3386_AL	3386_C	3386_D	3386_E	3386_F	3386_G	3386_H	3386_I	3386_J	3386_M	3386_N	3386_O	3386_S	3386_T	3386_U	3386_W	3386_X	3386_Y	3386_Z
2424_E	0	0.279961559177041	0.089923326471616	0.119966497091024	0.24153817198483	0.11903325229797	0.129342481989668	0.121427533152913	0.267789043746838	0.190306043616906	0.297991592243446	0.093102995289169	0.129379208673563	0.099848276022038	0.127991207277033	0.12511593707971	0.098099634794468	0.116172261241262	0.10845567353384	0.10845567353384	0.092873308200405	0.121891287131278	0.131062813110458	0.124138856891589	0.122910424428584	0.140393901495672	0.096431343724267	0.109844468799379	0.11425727544472	0.128792957322604
2424_N	0.279961559177041	0	0.279583662398773	0.288088202714022	0.351684682371053	0.318894970196422	0.192012409076037	0.2727682491476	0.279561427029823	0.288352644070257	0.43144716504128	0.292609342435768	0.257066010066759	0.298595324998927	0.305586155687289	0.35016845816146	0.263965330584099	0.250734779825496	0.323090557816303	0.323090557816303	0.270687168459716	0.157270068973577	0.313707694594628	0.304545571649186	0.162465751568272	0.380194424675135	0.258434885154994	0.162224706787571	0.266894955040788	0.285904020739993
3386_A	0.089923326471616	0.279583662398773	0	0.081632490699697	0.230174349815595	0.10049016114487	0.10507183311908	0.079512933569256	0.252982027722567	0.157088768878808	0.289400371326678	0.080038408989713	0.097856274194793	0.092699976816579	0.112483056277922	0.154953369113456	0.087670125531875	0.111043401160289	0.090036255150869	0.090036255150869	0.066045465213182	0.103131369390793	0.128613437432105	0.102560696766853	0.107136568474248	0.156733897803106	0.086694052576228	0.093402285608564	0.124537446866809	0.11897637468438
3386_AB	0.119966497091024	0.288088202714022	0.081632490699697	0	0.241624434981234	0.113308158081071	0.118697640847389	0.105957693309608	0.26396621310435	0.174268241782022	0.307289704949267	0.080359563594429	0.088667724505021	0.102998265618507	0.111269110676256	0.13520989008304	0.084360527705022	0.104856393319756	0.105069875691911	0.105069875691911	0.082376526939606	0.111230862161734	0.105204637315671	0.101579797085852	0.102952333861628	0.13431419549443	0.101274869188108	0.099105151902269	0.126713311142272	0.118088273694615
3386_AD	0.24153817198483	0.351684682371053	0.230174349815595	0.241624434981234	0	0.26962499485863	0.170870630731436	0.23544492194617	0.277532489921073	0.24118203381299	0.353430645288166	0.236830734890261	0.21325745109659	0.248933848937551	0.279114515900882	0.284543195105706	0.230412087202613	0.216204945522639	0.27905263275426	0.27905263275426	0.219256498003008	0.150277292707764	0.260106864810828	0.256207276271853	0.149498661652041	0.347094554990412	0.21959594009923	0.142505204227715	0.233253483574441	0.236934472427702
3386_AE	0.11903325229797	0.318894970196422	0.10049016114487	0.113308158081071	0.26962499485863	0	0.13669396534709	0.148748502177986	0.263036699477435	0.16775721274427	0.333357559412802	0.145384813945673	0.128263813233175	0.104449236876425	0.119258912285347	0.154179865326097	0.090072495285198	0.113924105443357	0.107660530413296	0.107660530413296	0.115210409871845	0.118861000009863	0.168817382340635	0.116142993640736	0.112858436528529	0.167800125062717	0.105959291643633	0.106475829631757	0.119646371265489	0.134636874830375
3386_AG	0.129342481989668	0.192012409076037	0.10507183311908	0.118697640847389	0.170870630731436	0.13669396534709	0	0.107268528892749	0.259845156620369	0.168736672478757	0.210002773518424	0.113089293699585	0.122627235716762	0.130864153174177	0.115798033778499	0.140862155139286	0.115433105277821	0.127982687802371	0.140014659078577	0.140014659078577	0.102485888663558	0.086738891700563	0.13324406428343	0.122503512732631	0.097543697973158	0.152352571832978	0.123792678790436	0.09677113110563	0.128546450103857	0.138179751034429
3386_AH	0.121427533152913	0.2727682491476	0.079512933569256	0.105957693309608	0.23544492194617	0.148748502177986	0.107268528892749	0	0.259119387942324	0.188313255232786	0.290476949471505	0.086924804764596	0.098045584911992	0.10759554160328	0.129987980579333	0.142986193693073	0.080362011642473	0.122109364941092	0.132997562508192	0.132997562508192	0.085172140527315	0.099237155476099	0.151545363355753	0.129987758201312	0.108385325455799	0.17690096670588	0.113429893008003	0.097783371163278	0.129208998793942	0.127378139905842
3386_AI	0.267789043746838	0.279561427029823	0.252982027722567	0.26396621310435	0.277532489921073	0.263036699477435	0.259845156620369	0.259119387942324	0	0.27304070459116	0.289016988239665	0.266765287173611	0.256795355560577	0.260843492818362	0.25902550349204	0.267056515274554	0.259576946763942	0.259587878411613	0.263204546759565	0.263204546759565	0.259615595943138	0.229810998071065	0.266767891435248	0.262600068806029	0.228086999265201	0.269943017005052	0.270505103527053	0.234385945073867	0.261144175108242	0.263600788940921
3386_AJ	0.190306043616906	0.288352644070257	0.157088768878808	0.174268241782022	0.24118203381299	0.16775721274427	0.168736672478757	0.188313255232786	0.27304070459116	0	0.28819961304575	0.192018346056501	0.157459450839778	0.161674681137219	0.147494550199378	0.231856564346196	0.1709286091391	0.165230598642273	0.16214547022813	0.16214547022813	0.161691471934302	0.152149732873949	0.174231659697234	0.167048688507114	0.150685479965108	0.188447233405074	0.197701297438883	0.147698510965697	0.158476077350338	0.153290985953726
