CHROM_POS	1048_F.freq	1048_G.freq	1048_H.freq	1048_I.freq	1048_J.freq	1115_A_fixed.freq	1115_B_fixed.freq	1115_C.freq	1586_B.freq	1586_C.freq	1586_D.freq	1586_E.freq	1586_F.freq	1586_G.freq	1586_I.freq	1586_J.freq	1586_K.freq	1586_N.freq	1586_O.freq	1586_P.freq	1586_Q.freq	1586_R.freq	1586_S.freq	1600_F.freq	1600_G.freq	1600_H.freq	1600_I.freq	1600_J.freq	2065_A.freq	2065_B.freq	2065_C.freq	2424_E.freq	2424_N.freq	2487_A.freq	2487_B.freq	2487_C.freq	2487_D.freq	2487_E.freq	2487_F.freq	3386_A.freq	3386_AB.freq	3386_AD.freq	3386_AE.freq	3386_AG.freq	3386_AH.freq	3386_AI.freq	3386_AJ.freq	3386_AK.freq	3386_AL.freq	3386_C.freq	3386_D.freq	3386_E.freq	3386_F.freq	3386_G.freq	3386_H.freq	3386_I.freq	3386_J.freq	3386_M.freq	3386_N.freq	3386_O.freq	3386_S.freq	3386_T.freq	3386_U.freq	3386_W.freq	3386_X.freq	3386_Y.freq	3386_Z.freq	3722_CJ.freq	3722_CL.freq	3722_CM.freq	3722_CN.freq	3722_CO.freq	3722_CP.freq
adoK60_123	-	0.9	0.828571	0.82	-	-	-	-	-	-	-	-	-	-	-	0.885714	0.73	0.857895	-	-	-	-	0.807143	-	-	-	0.621111	0.538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.719811	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_147	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.858824	-	-	-	-	-	-	-	-	-	-	0.82	0.837089	-	-	-	-	-	-
adoK60_331	-	-	-	-	-	-	-	-	0.001	0.01	0.01	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.032	0.001	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.794756	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_348	-	-	-	-	-	-	-	-	0.065156	0.0610309	0.096625	0.13375	0.0409375	0.0771186	0.135172	0.01	-	0.28225	0.0447368	0.14814	0.122075	0.0621053	0.248966	0.37	0.0524286	0.447684	0.399508	0.486203	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_397	-	0.01	-	-	-	-	-	-	0.0092562	0.001	0.01	0.0327586	0.01	0.0233784	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0302041	0.01	0.01	0.01	0.01	0.00862595	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.756842	-	-	-	-	-	-	-	-	-	-	-	-	0.912903	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_402	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.878846	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_438	-	-	-	-	-	-	0.844429	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.690625	0.136923	0.491622	-	-	0.406	0.631628	0.523333	0.90625	-	0.871882	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.385	0.538	0.625	0.51625	-	0.28383
adoK60_444	-	-	-	-	-	-	0.84662	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.71125	-	-	-	-	0.411351	0.677174	0.523333	0.921739	-	0.90241	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.415738	0.62875	0.638571	0.5275	0.329846	-
adoK60_465	-	-	-	-	-	-	0.883871	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.890909	-	0.742857	-	-	0.505	0.746154	0.575714	-	-	0.920253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.461957	0.746875	0.798644	0.658621	-	-
adoK60_471	-	-	-	-	-	-	0.877966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.788235	-	-	0.56	0.815385	0.611071	-	-	0.913699	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.494	0.782759	0.813208	0.699464	-	-
adoK60_472	0.01	0.01	0.01	0.01	0.01	-	0.88	0.905263	0.0107941	0.001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.020102	0.01	0.292857	-	-	-	-	0.469643	0.314615	0.116071	-	-	0.8875	-	-	-	-	0.925	-	0.7426	-	-	-	-	-	-	-	-	-	-	-	-	0.918182	-	-	0.876471	-	-	-	-	-	0.428	0.522069	0.701132	0.505	-	-
adoK60_474	-	-	-	-	-	-	0.889474	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.596667	0.82	0.596667	-	-	0.925	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.516	0.79	0.797959	0.699464	-	-
adoK60_487	-	-	-	-	-	-	0.894118	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.713636	0.838462	0.676	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.915625	-	-	0.874	-	-	-	-	-	0.625405	0.875862	0.85	0.757551	0.622857	0.528571
adoK60_519	-	0.742857	0.82	0.845714	0.7	-	-	-	-	0.461324	0.758846	0.385949	0.769767	-	0.645373	0.538	0.827826	0.896154	0.417647	-	0.563729	0.62875	0.694	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_648	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.895349	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
adoK60_678	-	-	-	-	-	0.735233	0.895349	0.773373	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.786471	0.789016	0.741739	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
